Food Name,Serving Size (g),Calories (kcal),Carbohydrates (g),Dietary Fiber (g),Sugars (g),Added Sugars (g),Protein (g),Fat (g),Saturated Fat (g),Trans Fat (g),ALA (mg),EPA (mg),DHA (mg),Vitamin A (µg),Beta Carotene (µg),Vitamin C (mg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Vitamin B1 (mg),Vitamin B2 (mg),Vitamin B3 (mg),Vitamin B5 (mg),Vitamin B6 (mg),Vitamin B9 (µg),Vitamin B12 (µg),Choline (mg),Potassium (mg),Magnesium (mg),Phosphorus (mg),Calcium (mg),Sodium (mg),Iron (mg),Zinc (mg),Copper (mg),Manganese (mg),Selenium (µg),Boron (mg)
Daily Value,,2000,275,28,,50,50,78,20,0,1600,0.25,0.25,900,,90,20,15,120,1.2,1.3,16,5,1.7,400,2.4,550,4700,420,1250,1300,2300,18,11,0.9,2.3,55,2
7 Sprouted Grain Bread,100,235.2941176,44.1,8.8,0,0,14.7,1.5,0.2,0,100,0,0,0,0,0,0,0.3,1.2,0.3,0.2,6,0.5,0.3,50,0,28,232,74,202,47,191,5.9,5.9,0.2,2.4,38,0.1
Bulgur,100,348.8372093,75.9,12.5,0.4,0,12.3,1.3,0.2,0,50,0,0,0,0,0,0,0.1,0,0.23,0.12,5.1,1,0.34,27,0,28.1,410,164,300,35,17,2.5,1.9,0.4,3,2.3,0.1
Couscous,100,357.1428571,73.5,4.8,0.1,0,12.2,0.6,0.1,0,0,0,0,0,0,0,0,0.1,0,0.06,0.04,0.9,0.3,0.1,19,0,12.6,158,42,162,23,9.5,1,0.8,0.2,0.7,26,0
Ezekiel Bread,100,235.2941176,44.1,8.8,0,0,14.7,1.5,0.2,0,100,0,0,0,0,0,0,0.3,1.2,0.3,0.2,6,0.5,0.3,50,0,28,232,74,202,47,191,5.9,5.9,0.2,2.4,38,0.1
Quinoa,100,363.6363636,64.2,7,5,0,14.1,6.1,0.7,0,300,0,0,1,8,0,0,2.4,0,0.4,0.3,1.5,0.8,0.5,184,0,70,563,197,457,47,5,4.6,3.1,0.6,2,8.5,0.1
Seeded Sourdough,100,235.2941176,41.2,5.9,1.5,0,10.3,4.4,0.6,0,250,0,0,0,0,0,0,0.4,3,0.2,0.2,3.5,0.4,0.1,30,0,20,180,50,150,40,380,3,1.5,0.2,1,20,0.1
Sprouted Rolled Oats,100,384.6153846,65.7,11.4,0,0,17.1,7.1,1.2,0,100,0,0,0,0,0,0,0.5,1.5,0.4,0.1,1.1,1.1,0.1,32,0,29,429,138,410,54,0,5.7,4,0.5,3.6,20,0.1
Cottage Cheese Fat Free,100,70.79646018,6.8,0,5,0,10.5,0.3,0.1,0,0,0,0,11,0,0,0,0.01,0,0.03,0.16,0.1,0.5,0.05,12,0.4,18,125,9,159,103,364,0.07,0.4,0.03,0.01,9.7,0.01
Greek Yogurt Fat Free,100,58.82352941,3.6,0,3.2,0,10.2,0.4,0.1,0,0,0,0,2,0,0,0,0,0,0.02,0.28,0.1,0.4,0.06,7,0.7,15.1,141,11,135,110,36,0.1,0.6,0.01,0.01,9.7,0
Milk Skim,100,32.38866397,5,0,5,0,3.4,0.1,0,0,0,0,0,62,0,0,1.3,0.01,0,0.04,0.18,0.1,0.4,0.04,5,0.5,18,166,11,101,125,52,0.03,0.4,0.01,0.01,3.7,0.01
Mozzarella Cheese Part-Skim,100,266.6666667,2.2,0,1,0,22.2,19.5,12,0,0,0,0,179,0,0,0,0.19,2.3,0.03,0.28,0.1,0.15,0.04,7,2.3,15,76,20,354,505,627,0.44,2.9,0.01,0.01,17,0.01
Apple,100,52,13.8,2.4,10.4,0,0.3,0.2,0,0,10,0,0,3,27,4.6,0,0.18,2.2,0.017,0.026,0.091,0.061,0.041,3,0,3.4,107,5,11,6,1,0.12,0.04,0.027,0.035,0,0.2
Avocado,100,160,8.5,6.7,0.7,0,2,14.7,2.1,0,110,0,0,7,0,10,0,2.07,21,0.07,0.13,1.7,1.4,0.26,81,0,14.2,485,29,52,12,7,0.6,0.6,0.19,0.14,0,0
Banana,100,89,22.8,2.6,12.2,0,1.1,0.3,0.1,0,30,0,0,3,0,8.7,0,0.1,0.5,0.03,0.07,0.67,0.33,0.37,20,0,0,358,27,22,5,1,0.26,0.15,0,0.27,0,0
Mango,100,60,15,1.6,13.7,0,0.8,0.4,0.1,0,40,0,0,54,0,36.4,0,0.9,4.2,0,0,0,0,0.12,43,0,0,168,10,14,11,0,0.16,0,0.11,0,0.6,0
Nectarine,100,44,10.6,1.7,7.9,0,1.1,0.3,0.03,0,10,0,0,17,150,5.4,0,0.77,2.2,0.03,0.03,1.1,0.19,0.02,5,0,6.2,201,9,26,6,0,0.28,0.17,0.09,0.05,0,0.2
Olives,100,125,6.3,3.2,0,0,0.8,10.7,1.4,0,0,0,0,20,204,0,0,1.65,0,0.01,0.01,0.1,0.1,0.01,0,0,7.1,42,4,4,94,735,3.3,0.2,0.25,0,0.9,0
Orange,100,47,11.8,2.4,9.4,0,0.9,0.1,0.02,0,10,0,0,11,71,53.2,0,0.18,0,0.09,0.04,0.4,0.25,0.06,30,0,8.4,181,10,14,40,0,0.1,0.07,0.05,0.03,0,0.2
Peach,100,39,9.5,1.5,8.4,0,0.9,0.3,0.02,0,10,0,0,16,162,6.6,0,0.73,2.6,0.02,0.03,0.8,0.15,0.02,4,0,6.1,190,9,20,6,0,0.25,0.17,0.07,0.06,0,0.2
Pear,100,57,15.2,3.1,9.8,0,0.4,0.1,0,0,10,0,0,1,0,4.3,0,0.12,4.4,0,0,0,0,0.03,7,0,0,116,7,12,9,0,0.18,0.1,0.08,0,0,0
Pineapple,100,50,13.1,1.4,9.9,0,0.5,0.1,0.01,0,10,0,0,3,35,47.8,0,0.02,0.7,0.08,0.03,0.5,0.21,0.11,18,0,7.5,109,12,8,13,1,0.29,0.12,0.11,0.93,0.1,0
Raisins,100,300,79.2,3.7,59.2,0,3.1,0.5,0.1,0,10,0,0,0,0,2.3,0,0,3.5,0,0,0,0,0.17,5,0,0,749,32,101,50,11,1.9,0.22,0.32,0,0,2.2
